Tsys	OutW	OutK	In1	In2	In3	In4	In5
14260.2073472	-4.37206707966	1.68406792214	-90	5092.17448026	7.56856929816	7.6033832495	2.76660843793E-5
17860.1137497	-4.39503129975	1.68408561854	-90	5092.24850782	7.73391651716	7.7550425081	3.14711936739E-6
21460.017344	-4.39694843091	1.68409513754	-90	5092.28515496	7.80045419894	7.82447385625	5.49331634215E-14
25059.9390966	-4.46689869309	1.68418939567	-90	5092.46415607	8.71556191457	8.79168415838	2.60961068763E-4
28659.8692516	-4.60453460097	1.68447428432	-90	5093.5273797	11.1738736369	11.2321970485	2.44085439401E-4
32259.7692625	-4.62933608308	1.68459654942	-90	5094.08107489	12.2279604264	12.2641160298	1.04864035633E-4
48398.9886552	-4.83555786111	1.68462885233	-90	5094.30224631	12.5736226921	12.6170106833	5.10939282516E-14
51998.9284034	-5.02186454258	1.68459037585	-90	5094.33583034	12.6711323574	12.6968917555	5.42086818819E-6
55598.8193376	-5.0109531436	1.68459482003	-90	5094.35498116	12.7023352579	12.7482929173	2.95788479937E-14
59198.7059477	-5.01090618064	1.68460042169	-90	5094.36352231	12.7416253644	12.7504615178	1.74306119263E-5
62798.6580159	-5.21621370264	1.68486265507	-90	5094.88577008	14.5820689153	14.6554270633	3.1324205585E-4
66398.4133903	-4.83342741285	1.6851421832	-90	5095.83131938	16.5436698281	16.5807231315	1.51157806986E-4
82597.3819992	-5.05592264775	1.68517568455	-90	5096.38282166	17.5423572558	17.5824990833	5.35794210073E-7
86197.1989581	-4.88193911556	1.68515224522	-90	5096.41601589	17.6313390346	17.6488339057	2.64146816183E-9
89797.0716538	-4.87765708455	1.685153884	-90	5096.43359375	17.6421677097	17.684924807	9.79771819232E-14
93396.9461078	-4.88037378306	1.68515648613	-90	5096.4375	17.6593522823	17.6896660188	-1.22300355463E-13
96996.785854	-4.7880228393	1.68538426147	-90	5096.8219859	19.1637018266	19.263762702	3.2840658211E-4
100596.582311	-4.54765466507	1.68571002763	-90	5097.83872937	21.3568993582	21.3968150084	2.26779867168E-4
116796.207695	-4.78456035966	1.6858119248	-90	5098.47802736	22.5367438647	22.515543628	-2.77410732473E-13
120396.073932	-4.78347980743	1.68581670345	-90	5098.5078125	22.6085492685	22.6337768165	-1.24579158228E-13
123995.933424	-4.78495893643	1.68582039017	-90	5098.52050783	22.6327621937	22.6468969918	6.96935376776E-14
127595.817984	-4.8413690616	1.68595016165	-90	5098.6802701	23.4850569881	23.5558167489	2.51233013163E-4
131195.769125	-5.15912070669	1.68633540727	-90	5099.75744397	26.0151998294	26.0817725848	2.23806188836E-4
134795.569054	-5.03811592845	1.68649998372	-90	5100.31448596	27.0960070405	27.1114443549	1.10857780883E-4
150994.574914	-5.04563623636	1.68644765634	-90	5100.55712891	27.5271448521	27.5498749232	8.82072193065E-14
154594.426345	-5.03130153177	1.68645400538	-90	5100.57666039	27.5676362909	27.569996933	-7.10951256347E-9
158194.277502	-5.0421891861	1.68645783776	-90	5100.5878911	27.5920635542	27.5964406847	8.8856564407E-14
161794.122792	-5.03919398086	1.68659565623	-90	5100.75837405	28.4707059838	28.5262859938	2.54166064197E-4
165393.91079	-4.91752854448	1.68698801091	-90	5101.83009646	30.971824156	31.0663847036	2.32947745364E-4
168993.798497	-5.06834536676	1.68715841011	-90	5102.38328058	32.0580835038	32.061980802	9.32261478618E-5
185253.07304	-4.9015552157	1.68705537787	-90	5102.61474666	32.4778570004	32.4674667418	-3.50964783847E-15
188852.890099	-4.89240114243	1.68706223452	-90	5102.64419393	32.533526431	32.5403118109	1.5463315061E-6
192452.744332	-4.89785970843	1.68706672801	-90	5102.65869169	32.5699966506	32.5802976937	3.7792662353E-10
196052.571545	-4.87790144939	1.68719306333	-90	5102.88008082	33.5955932809	33.6723906991	2.88437163289E-4
199652.384584	-4.86616810189	1.68748241221	-90	5103.91237164	35.9444073362	35.9763122099	1.7088775948E-4
203252.279098	-5.03110363867	1.6875988786	-90	5104.3977601	36.8898413695	36.8821147987	8.69737584792E-5
219451.273171	-5.20330237794	1.68778068454	-90	5104.56201128	37.1914746293	37.2112142742	4.80550994681E-7
223051.109478	-5.22230622485	1.68779310158	-90	5104.61796498	37.3048741355	37.3186591195	1.68882672695E-5
226650.916603	-5.20608286767	1.68779998477	-90	5104.64599648	37.3676972753	37.3770131457	2.62997298618E-8
230250.673903	-4.97569081469	1.68790812075	-90	5104.86009155	38.3550730616	38.4391764577	3.00670549636E-4
233850.596336	-5.26771750016	1.68817153382	-90	5105.90839908	40.7600771386	40.7964089144	2.27402874317E-4
237450.283594	-4.88520422384	1.68827854922	-90	5106.40665634	41.7370773784	41.7528939005	5.47531032785E-5
